Country,Data.Smokers.Total,PopTotal,Smokers_Per_Capita
Tajikistan,677593.3076923077,5549493.333333333,0.12210003093837536
Thailand,10279995.076923076,51184750.083333336,0.20084097431727863
Togo,197315.0,4160513.5,0.04742563628263675
Tonga,21434.69230769231,101672.08333333333,0.21082180678267773
Trinidad and Tobago,175375.38461538462,1012072.25,0.1732834633252563
Tunisia,1831315.076923077,10284140.0,0.1780717762421629
Turkey,14321567.153846154,64210960.75,0.2230392909024672
Turkmenistan,689204.7692307692,4870089.333333333,0.1415178905474087
Uganda,1435771.0,22060384.75,0.06508367901425655
Ukraine,11675205.923076924,43248639.916666664,0.26995544705158847
United Arab Emirates,702926.0,6022038.916666667,0.1167255824359709
United Kingdom,11477326.615384616,46926555.666666664,0.24458063142139588
United States,41170950.92307692,299320953.0833333,0.1375478412017972
Uruguay,625763.5384615385,3339390.8333333335,0.1873885297328046
Uzbekistan,1908402.3076923077,27119811.25,0.07036930641220107
Vanuatu,23738.153846153848,184262.5,0.12882791586000325
World,929471610.8461539,6668651427.0,0.13937924646697145
Yemen,1668246.4615384615,21067413.083333332,0.07918610865698694
Zambia,700550.5384615385,11585911.833333334,0.06046572324553812
Zimbabwe,838246.6923076923,11412652.583333334,0.07344889246272514
